순위,도서명,저자,출판사,출판일,정가,판매가,평점,리뷰수,상품코드,상세설명
339,쪼물쪼물 내 친구 몬스터 타자왕,놀이교육콘텐츠랩,마린북스,2024-02-29,16000,14400,10.0,4,S000212671821,"★재미있는 타자 연습
몬스터 타자 프로그램을 활용하여 키보드 다루는 방법을 배울 수 있습니다. 〈자리 연습〉, 〈낱말 연습〉, 〈짧은 글 연습〉을 단계별로 실행하여 타자 실력을 향상시킬 수 있습으며, 타자 게임을 통해 신나고 재미있게 타자연습이 가능합니다.

★윈도우 기초 학습
컴퓨터를 처음 배우는 학생들이 윈도우 기초 기능을 쉽고 재미있게 학습할 수 있습니다.

★산타추적기와 함께하는 부록 챕터 수록
부록으로 제공되는 산타추적기의 다양한 콘텐츠를 활용하여 컴퓨터에 대한 흥미와 집중력을 높일 수 있으며, 마우스와 키보드를 제대로 다룰 수 있게 됩니다."
340,암호학과 네트워크 보안,Behrouz A. Forouzan,한티에듀,2024-02-26,39000,39000,10.0,4,S000212462214,"암호학과 네트워크 보안의 초판을 쓴 저자 Behrouz A. Forouzan은 쉬운 문장 스타일과 시각적 접근 방식을 사용하여 어려운 개념들을 아주 쉽게 설명하였다. 
학생들에게 필요한 어려운 수학 개념을 보다 확실하게 배울 수 있도록 구성하였다. 
이 책의 주요 특징은 다음과 같다. 
ㆍ 수백 개의 그림을 이용하여 중요한 개념을 시각적으로 설명하여 기술 내용을 이해하기 쉽게 만들었다. 
ㆍ 유용한 프로그램을 통해 학생들이 실제로 실습해 볼 수 있다. 
ㆍ 최신 네트워크 보안 기술의 적용 범위는 실제 상황에 맞는 예를 직접 적용할 수 있게 하였다. 
ㆍ 각 장의 마지막에 있는 다양한 연습문제는 학생들이 배운 것을 복습하고 다양한 자료를 통해 도전할 수 있는 기회를 제공한다."
341,나도 마이크로비트로 코딩한다 뉴마이크로비트 V2,김태서 외,씨마스,2024-02-23,23000,20700,0.0,0,S000212607563,"교육과정에 새롭게 신설된 피지컬 컴퓨팅 영역에서 다루는 피지컬 컴퓨팅 교구인 아두이노와 E-센서보드, 코드이노 등은 학교에서 배정된 교과 시간에 가르치기가 다소 어렵다는 교사들의 공감대가 있었고, 그에 대한 대안으로 새로운 피지컬 컴퓨팅 교구에 대해 관심이 있었습니다. 그때 발견한 것이 마이크로비트였습니다.
 
마이크로비트는 영국 BBC에서 코딩 교육용으로 개발한 오픈소스 하드웨어로, 쉽게 말하자면 자그마한 컴퓨터라고 할 수 있습니다. 스마트폰처럼 빛 센서, 가속도 센서 등 다양한 센서가 내장되어 있을 뿐만 아니라 25개의 LED와 온도 센서가 내장되어 있어 소프트웨어와 하드웨어의 원리를 이해하기에 좋은 도구라고 생각했습니다. 이 밖에 마이크로비트는 클라우드 기반의 블록형 알고리즘으로 접근성이 좋으며, 여러 가지 센서들이 이미 내장되어 있어, 추가로 브레드보드나 센서를 부착할 필요가 없다는 장점이 있습니다. 또한, 물리적인 마이크로비트 장치가 없어도 컴퓨터 화면에서 에뮬레이터를 이용하여 시뮬레이션할 수 있습니다. 

정보 교사들이 수업에 활용하기 위해 마이크로비트를 함께 배우고 연구하는 과정에서 마이크로비트에 대한 많은 장점을 발견하면서, 마이크로비트에 대해 좀 더 배우고 싶은 분들께 도움이 되었으면 하는 생각에 책을 출간하기로 하였습니다. 집필진들이 함께 모여 주제와 난이도별로 목차를 정하고 ‘한 걸음 더’를 통해 사고력 확장이 되도록 구성하였습니다. 특히 14장의 ‘흘리지 않는 쟁반’과 15장의 ‘쿠킹 타이머’는 마이크로비트로 메이커 활동을 해 볼 수 있도록 구성하여, 창작의 재미와 함께 소프트웨어 교육의 흥미를 높일 수 있도록 하였습니다. 

특장점
ㆍ 정보 교사 연구회 추천 도서
ㆍ 참신한 주제와 쉽게 다룰 수 있는 교구를 활용한 15개 활동 수록
ㆍ 코딩을 처음 배우는 학생도 쉽게 따라할 수 있는 구성
ㆍ 정보 수업 대체용으로 사용할 수 있도록 교과서 내용 요소 첨가
ㆍ 단순한 교구 활용뿐만 아니라 만들기가 첨가된 메이커 활동 수록
ㆍ 수업용 PPT 파일 제공"
342,사장님 몰래하는 파이썬 업무 자동화,정용범 외,비제이퍼블릭,2024-01-12,32000,28800,6.88,9,S000211816381,"손 사원의 칼퇴를 위한 파이썬 학습 여정!
웹, 엑셀, 워드, PDF, 이메일 파일&폴더 정리 등의 다양하고 실용적인 업무 자동화 패키지를 파이썬 초보 입장에서 친절히 설명했습니다. 이 책을 통해 매일 반복되는 루틴한 문서 작업을 효율화하시길 바라겠습니다."
343,캡컷(Capcut)으로 트렌디한 영상 제작하기,김수진,아티오,2024-01-10,12000,10800,9.17,65,S000211810918,"Let’s go 스마트폰 시리즈는 스마트폰을 마음대로 활용하여 생활에 즐거움을 배가시킬 수 있도록 많이 활용하는 앱 위주로 편성된 도서입니다.
특히, 사용법이 서투른 중장년 층들을 위하여 다음과 같은 특징들을 기준으로 제작되었습니다.

하나, 생활에 밀접한 예제들로 구성 
생활에서 실제로 사용 가능한 예제 위주 편성으로 친밀감이 들도록 하여 보다 쉽게 학습한 후 곧바로 응용할 수 있도록 하였습니다. 

둘, 쉽게 따라하기 형태의 내용 구성
각 기능들을 쉬운 단계부터 시작하여 실습 형태로 따라하면서 자연스럽 게 익혀 활용할 수 있도록 하였습니다. 

셋, 베테랑 강사들의 노하우 제공 
일선에서 다년간 강의를 하면서 모아놓은 보물 같은 내용들을 [Tip], [한 걸음 더], [미리보기] 등의 코너를 만들어 곳곳에 배치시켜 놓아 효율을 극대화 시켰습니다. 

넷! 대형 판형에 의한 넓고 시원한 편집 
A4 사이즈에 맞춘 큰 판형으로 디자인하여 보기에도 시원하고 쾌적하게 학습할 수 있도록 하였습니다. 

다섯! 스스로 풀어보는 혼자 해보기 예제 
각 단원이 끝날 때마다 배운 내용을 실습하면서 완벽히 익힐 수 있도록 난이도별로 다양한 실습 문제를 제시하여 복습할 수 있도록 하였습니다."
344,내 맘대로 그리는 캐릭터 이모티콘 with 프로크리에이트,이지원,제이펍,2024-01-02,18000,16200,9.81,21,S000211551976,"예비 캐릭터 이모티콘 작가를 위한 맞춤 가이드로, 복잡한 정보는 최소화하고 기획부터 출시까지 꼭 알아야 할 이모티콘 만들기의 핵심 비결만 담았다. 또한 이모티콘을 만드는 과정에서 무조건 겪는 ‘미승인’된 파일을 개선하는 방법, 포토샵으로 이모티콘 제안용 파일을 마무리하는 방법 등 실전에서 낙담하기 쉬운 순간을 헤쳐나갈 꿀팁을 공개한다. 나아가 캐릭터 브랜드를 운영하는 저자가 프리랜서 생활을 시작하게 된 이유와 현직 이모티콘 작가들의 고충과 응원을 담은 인터뷰 등 생생한 이야기를 담았다. 이 책과 함께 아이패드 프로크리에이트 앱으로 이모티콘을 그리고, 포토샵 필수 기능으로 마무리해서 승인에 도전하자!"
345,효율적인 리눅스 명령어 사용의 기술,대니얼 J. 바렛,길벗,2023-11-30,33000,29700,10.0,11,S000211545480,"리눅스 명령어는 방대하기 때문에 모든 명령어를 다 외워서 사용할 순 없다. 하지만 초급 개발자에서 중고급 개발자가 되기 위해 리눅스 스킬을 높이고 싶다면 다양한 명령어 활용법을 알아 두는 건 필수다. 이 책은 작업 효율을 높이는 데 가장 많이 사용되는 명령어를 엄선해 수록했으며, 비밀번호 관리, 테스트 파일 생성, 배송 상태 확인 등 실제 업무에서 사용할 수 있는 다양한 실습으로 직접 연습하며 익힐 수 있게 구성했다. 또한, 이러한 다양한 명령어의 활용과 조합을 익힘으로써 리눅스 명령을 실행했을 때 내부에서 어떤 일이 일어나는지와 실행한 명령의 결과가 어떨지를 좀 더 잘 예측할 수 있게 될 것이다. 효율적인 작업을 원하거나 리눅스 스킬을 한 단계 더 끌어올리고 싶은 사람에게 이 책은 기초 단계를 넘어서기 위한 발판이 되어줄 것이다."
346,Do it! 데이터 분석을 위한 판다스 입문,다니엘 첸,이지스퍼블리싱,2023-11-20,25000,22500,9.2,23,S000211361197,"이미 1만여 명의 독자가 선택한 《Do it! 데이터 분석을 위한 판다스》가 파이썬 3.11.X 버전과 판다스 2.X 버전에 맞춰 개정하였다. 기존 판보다 100쪽 이상 증보되어 더 자세하고 친절하다. 파이썬 기초를 뗐다면 이 책으로 판다스를 공부하기 어렵지 않다. 이 책은 판다스의 주요 용어, 원리와 개념은 물론, 넘파이, 맷플롯립이나 시본, 시계열 데이터 등 파이썬 데이터 분석의 기본기를 익힐 수 있다. 이와 더불어 과학, 경제, 종교, 엔터테인먼트, 의학, 사회 등 다양한 분야의 현실 데이터셋을 활용한 판다스와 데이터 분석 실습 예제 115개로 실무 감각을 키울 수 있다는 점도 특징이다."
347,컴파일러,김상욱,도서출판 홍릉(홍릉과학출판사),2023-11-09,39000,39000,10.0,1,S000210964759,이 책은 컴파일러에 대해 다룬 도서입니다. 기초적이고 전반적인 내용을 학습할 수 있습니다.
348,모던 리액트 Deep Dive,김용찬,위키북스,2023-11-07,48000,43200,9.0,23,S000210725203,"요즘 프런트엔드 개발은 자바스크립트와 리액트부터 시작한다는 말이 있을 정도로 최근 몇 년간 프런트엔드 생태계에서 리액트의 비중은 날이 갈수록 커지고 있습니다.

이 책에서는 0.x 버전의 리액트부터 최신 버전인 18 버전에 이르기까지, 리액트를 둘러싼 다양한 내용을 다루고 있습니다. 리액트는 하나의 온전한 웹 프레임워크를 지향하지 않아 UI 외에 상태 관리나 서버 사이드 렌더링 등 웹 개발의 많은 영역에서 선택의 여지를 남겨뒀으며, 이 때문에 리액트 개발자라면 알아둬야 할 내용이 많습니다.

함수형 컴포넌트와 훅의 동작 원리, 메모이제이션의 필요성과 실제로 메모이제이션되고 있는지 확인하는 방법, 리액트의 상태 관리와 다양한 상태 관리 라이브러리의 동작 방식, 실무에서 널리 쓰이고 있는 Next.js, 그리고 리액트 애플리케이션의 성능을 분석하는 방법까지, 리액트에 관심 있는 개발자라면 이 책을 통해 리액트 앱 개발의 시작부터 끝까지 경험해 보면서 웹 서비스 개발의 즐거움을 만끽하시길 바랍니다."
349,윤피티의 프레젠테이션 디자인 실무 강의 with 파워포인트,윤상림,한빛미디어,2023-11-06,22000,19800,9.13,19,S000210865687,"파워포인트라는 도구는 쉽지만 디자인은 어렵다. 초보자도, 전문가도 동일한 도구와 기능을 사용하지만 다른 결과물이 나온다. 이는 동일한 기능을 어떻게 사용하는가에 따른 노하우의 차이이다. 프레젠테이션은 단순히 화려하고 멋지게 작업한다고 완성되는 것이 아니다. 프레젠테이션 전문가가 만든 템플릿을 사용하더라도 자신의 디자인 목적에 맞게 수정할 수 있어야 하고 메시지를 명확하게 전달할 수 있는 디자인 요소를 활용할 수 있어야 한다. 
〈윤피티의 프레젠테이션 디자인 실무 강의 with 파워포인트〉는 성공적인 프레젠테이션을 위해 파워포인트 기능을 적재적소에 활용하는 방법은 물론, 같은 템플릿이라도 내가 원하는 양식에 맞게 자유자재로 바꿀 수 있는 방법을 하나도 빠뜨리지 않고 꼼꼼히 알려준다. 더 나아가 심도 있는 프로젝트형 실습을 제공해 PPT 디자인 워크플로를 배우고, ‘윤피티의 팁!’을 통해 심미성과 효율성 두 마리 토끼를 잡을 수 있도록 도와준다."
350,스티븐 울프럼의 챗GPT 강의,스티븐 울프럼,한빛미디어,2023-10-27,20000,18000,9.29,17,S000210541939,챗GPT는 사람 수준의 글쓰기를 할 수 있는 인공지능으로 급부상했습니다. 아무도 예상하지 못했고 심지어 이를 만든 사람도 깜짝 놀랄 만큼 빠른 속도였습니다. 챗GPT는 실제로 어떻게 작동하는 걸까요? 인공지능 안에서는 어떤 일이 일어나고 있을까요? 저명한 과학자이자 계산 분야의 선구자인 스티븐 울프럼이 과학과 기술의 최전선에서 수십 년 동안 쌓아온 독특한 경험을 바탕으로 챗GPT의 작동 원리를 쉽고 매력적으로 설명합니다. 2천여 년 전 아리스토텔레스가 제기한 언어와 인간의 사고에 대한 근본적인 질문과 최신 신경망 기술을 챗GPT가 어떻게 성공적으로 결합했는지 알아보세요. 그리고 챗GPT에 울프럼 알파 플러그인을 적용해 초능력을 보여주는 향상된 챗GPT를 만나보길 바랍니다.
351,에듀윌 EXIT GTQ 포토샵 1급 ver.CC,김부치,에듀윌,2023-10-25,22000,19800,10.0,15,S000210401792,"1. Step Ⅰ. 포토샵 주요기능 배워보기 
단기간 합격을 위해 시험에 출제되는 기능만을 한 권에 담았습니다. 생소한 포토샵도 1권 '포토샵 따라하기’를 그대로 따라하면 GTQ는 손쉽게 마스터가 가능합니다!
- 포토샵 구성과 주요 기능에 대한 자세한 설명
- 모든 기능을 공부하는 것이 아닌 출제되는 기능만 공부하여 시간 절약

2. Step Ⅱ. 출제패턴 분석 & 따라하기+전 범위 무료강의 제공
GTQ의 출제패턴은 정해져 있습니다. 각 문항별 제일 주요 구성만을 뽑아 재구성했습니다. 기출문제 풀이 전에 완전히 마스터할 수 있도록 구성했습니다!
- 지시사항의 작업 내용과 단축키 & 메뉴 경로를 한눈에 확인
- 출제패턴에 대한 이해를 높여 기출 풀이가 쉬워지는 구성
- 출제패턴 분석하기: 각 문항별 놓치기 쉬운 부분과 어려워하는 부분에 대한 선생님의 한마디
- 출제패턴 따라하기: 시간이 단축되는 문제풀이 구성
- 출제패턴 연습하기: 풀어보지 못한 다양한 유형의 출제패턴을 마스터

3. Step Ⅲ. 기출문제 반복으로 실력 키우기+상세해설 3회분 무료강의 제공
다양한 유형의 기출문제를 10회 수록했습니다. GTQ 합격의 열쇠는 시간 내 문제풀이입니다. 단계별 시간 제한 문풀 훈련으로 실격을 피하고, 한 번에 합격을 노려보세요!

(1) 타이머 가이드: 회차별ㆍ문항별로 체계적인 문풀 훈련을 할 수 있도록 타이머 가이드를 제시했습니다. 타이머 가이드에 맞춰 문제풀이 시간을 100분, 90분, 85분까지 줄여봅시다.

(2) 상세해설: 1~3회까지 상세한 해설로 구성하여 초보자들도 따라만 하면 쉽게 문제풀이가 가능합니다. 상세해설은 제한시간 없이 유형을 익히는 데 집중합시다.

(3) 간단해설: 상세해설로 유형을 완벽하게 익혔다면 간단해설로 반복 훈련하며 실력을 키워볼 수 있습니다."
352,캐릭터 제작을 위한 블렌더 3D 모델링&렌더링,3dtotal Publishing,이지스퍼블리싱,2023-09-15,31000,27900,8.17,11,S000208862698,"블렌더 3D, 요즘 대세라는 건 알고 있는데 배우기 막막했다면? 블렌더 재단이 인증한 트레이너가 집필한 이 책을 만나 보자! 3D 모델링 기초 프로젝트와 3가지 실전 프로젝트를 만들다 보면 3D 그래픽이 처음인 초보자도 ‘캐릭터 제작의 지도’를 머릿속에 그릴 수 있다.
디즈니, 픽사 애니메이션에서 보던 재질 표현, 스케치를 기반으로 캐릭터를 만드는 방법, 실감 나는 렌더링 표현과 효율적인 작업을 위한 ‘리토폴로지’ 과정까지! 예비 캐릭터 아티스트라면 알아야 할 모든 것을 배운다.
이 책의 예제에서 사용할 모델링, 브러시, 작업 영상, 재질 파일까지 모두 제공되어 교재로도 손색없다. 책을 마칠 때는 포트폴리오에도 활용 가능한 결과물을 얻는 기쁨도 누릴 수 있다.
이 책으로 여러분이 가진 한계를 넘어 더 풍성하고 다채로운 3D 캐릭터 제작의 세계를 맛보기를 바란다."
353,오늘부터 이모티콘 작가,곰곰(강채연),혜지원,2023-08-11,16800,15120,9.79,24,S000208254427,"이것저것 도전하고 싶은 취미 부자도, 부가 수입을 창출하고 싶은 N잡러도 아이패드 하나만 있으면 이모티콘 작가가 될 수 있다. 복잡한 포토샵 기술도, 높은 수준의 드로잉 스킬도 필요하지 않다. 이 책은 비전공자 왕초보에서 좌충우돌 시행착오를 겪으며 전업 이모티콘 작가가 된 저자가 이모티콘 제작에 ‘꼭 필요한’ 기능, 기술, 지식만 쏙쏙 뽑아 만들었다. 톡톡 튀는 콘셉트와 아이패드만 있다면 손쉽게 이모티콘 제작 가능! 이모티콘 작가가 되는 가장 빠르고 쉬운 지름길, 『오늘부터 이모티콘 작가』와 함께 이모티콘 작가가 되기 위한 한 걸음을 내디뎌 보자."
354,마음을 움직이는 보고서 작성법,김강욱 외,생능북스,2023-07-21,18000,16200,10.0,30,S000202988695,"내가 작성한 보고서는 계속 반려되어 수정만 하고 있는데 상사의 마음에 드는 보고서는 어떻게 작성해야 할까? 보고서 작성만 하면 끝일까? 보고서 작성 과정과 보고 전후 알아야 할 내용들을 4컷 만화로 시작하여 쉽게 풀어쓴 책이다. 또한, 챗GPT 베스트셀러 저자를 통해 챗GPT로 쉽게 보고서를 작성하는 노하우까지 배울 수 있다. 챗GPT에 ""OO 보고서 작성해줘“라는 단순한 명령어가 아닌, 저자만의 비법을 통해 퀄리티 있는 보고서를 작성해보자."
355,그림으로 이해하는 네트워크 구조와 기술,나카오 신지,길벗,2023-07-20,22000,19800,10.0,10,S000203158702,"우리 일상에 없어서는 안 될 인터넷과 그 바탕을 이루는 이더넷 및 TCP/IP는 모두 네트워크라는 범주에 속한다. 네트워크는 오늘날 여러 분야에서 널리 활용되면서 그 역할과 의미는 더욱 확대되고 있다. 현대 사회를 연결하고 지탱하는 기술에 네트워크가 큰 축을 차지한다는 건 부정할 수 없는 사실이다. 이 책은 네트워크 기본 개념부터 데이터 송수신, 네트워크 요소, 프로토콜, 네트워크 종류, 인터넷 구조 등 네트워크 전반을 다루면서 클라우드 컴퓨팅 같은 최신 기술까지 포함해 설명하고 있다. 구조와 동작 원리를 전부 그림으로 보여주고 있기 때문에 데이터가 어떤 모습으로 전달되는지 머릿속에 쉽게 떠올릴 수 있다. 또한, 용어 노트, ONE POINT 같은 코너를 수록해 본문에 언급되는 내용을 한 번 더 자세히 설명했다. 쉽고 가볍게 네트워크를 공부해보고 싶다면 도움이 될만한 책이다!"
356,챗GPT 실전 활용 보고서,장문철 외,앤써북,2023-07-10,15500,13950,10.0,7,S000202751635,"책을 통해 학생들은 자기주도 학습 차원에서 활용을, 선생님은 수업에 활용하도록, 일반인들은 업무 및 일상생활에서 챗GPT 활용도를 응용할 수 있다.

책을 통해 인공지능이 무엇인지 물어 보며 자기 주도 학습을 통해 학습 문제도 내고 답도 맞추는 과정을 알아본다. 계획을 세우고, 광고 문구를 만들고 번역을 하고 글쓰기 방법을 통해 챗GPT의 다양한 활용도를 알아본다. 다양한 엑셀 기능 활용 통해 효율적인 업무처리 도움을 받을 수 있고, 멋진 그림을 인공지능과 함께 그려보는 실습도 담았다. 
또한 요리 레시피 얻는 방법과, 음악 생성 작업, 보고서 등을 만들며 생활 전반에서 사용할 수 있다는 것을 실습을 통해 알 수 있게 된다. 
프로그래밍 과정은 역시 챗GPT가 잘하는 업무 중 한 분야이다. 책에서는 티처블머신을 이용한 파이썬, 파이썬 데이터 분석, 파이썬 인공지능, 아두이노, 스크래치, P5.js 코드 작성을 요청하고 작업해보는 실습을 진행해 본다."
357,견고한 데이터 엔지니어링,조 라이스 외,한빛미디어,2023-06-26,38000,34200,9.88,18,S000202731288,"데이터 엔지니어링 분야가 빠르게 성장하면서 많은 소프트웨어 엔지니어와 데이터 과학자, 분석가가 해당 분야에 대한 포괄적인 관점을 새롭게 모색하고 있다. 이 실용적인 책은 데이터 엔지니어링 수명 주기의 프레임워크를 소개하고 사용 가능한 최고의 기술을 평가한다. 또한 다양한 클라우드 기술을 결합함으로써 다운스트림 데이터를 소비하는 조직과 고객의 요구 사항에 따라 시스템을 계획하고 구축하는 구체적인 방법을 알려준다. 이 책을 다 읽고 나면 기본 기술과 관계없이 모든 데이터 환경에 중요한 데이터 생성, 수집, 오케스트레이션, 변환, 저장 및 거버넌스의 개념을 적용하는 방법을 이해할 수 있다."
358,Do it! 점프 투 파이썬,박응용,이지스퍼블리싱,2023-06-15,22000,19800,9.76,196,S000202532365,"중고등학생도, 비전공자도, 직장인도 프로그래밍에 눈뜨게 만든 바로 그 책이 전면 개정 2판으로 새롭게 태어났다! 챗GPT를 시작으로 펼쳐진 생성 AI 시대에 맞춰 설명과 예제를 다듬고, 최신 경향과 심화 내용을 보충했다. 또한 이번 개정 2판도 50만 코딩 유튜버인 조코딩과 협업을 통해 유튜브 동영상을 제공해 파이썬을 더 쉽게 공부할 수 있다.

8년 연속 베스트셀러! 위키독스 누적 방문 300만! 독자의 입에서 입으로 전해진 추천과 수많은 대학 및 학원의 교재 채택을 통해 검증은 이미 끝났다. 코딩을 처음 배우는 중고등학생부터 코딩 소양을 기르려는 비전공자, 자기계발에 진심인 직장인까지! 이 책과 함께 파이썬 프로그래밍의 세계로 ‘점프’해 보자!"
359,린 스타트업(10주년 기념판),애시 모리아,한빛미디어,2023-06-01,24000,21600,9.07,23,S000202480286,"출간 후 10년 동안 새로워진 추가적인 비즈니스 모델링 도구(고객 공장 모델, 고객 작용력 캔버스, 견인 로드맵), 더 정교한 실현 가능성 확인 전략, 디자인 사고, 비즈니스 모델 설계, 시스템 사고, 행동 설계 등 광범위해진 방법론과 새로운 프레임워크의 개념들을 종합해 실용적인 기술로 다듬었고, 그 전부를 이 책에 담았습니다.

린 캔버스의 창시자, ‘애시 모리아’의 지식과 통찰을 차근차근 풀어내는 동시에 한 편의 소설을 읽는 것과 같은 흥미로운  주인공 ‘스티브’의 이야기로 독자 여러분에게 지식과 재미, 두 마리 토끼를 모두 잡을 수 있는 기회를 제공한다고 장담합니다. 이 기회를 놓치지 마세요!

『린 스타트업』 전면 개정판의 특징

●	초기 비즈니스 모델 형성에 더 효과적으로 활용할 수 있는 스트레스 테스트
●	고객이 실제로 겪는 중요한 문제를 발견할 수 있도록 완전히 개정한 문제 파악 인터뷰 대본
●	고객이 원할 것 같은 제품이 아니라 고객이 실제로 원하는 제품을 개발하기 위한 검증된 절차
●	90일 주기, JTBD 이론 및 10가지 창업가의 마인드셋, 부트스타트 선언문 수록"
360,게임 엔진 아키텍처,제이슨 그레고리,에이콘출판,2023-05-31,75000,67500,10.0,9,S000201901251,"게임 엔진은 매우 복잡하고 어려운 소프트웨어다. 바로 그런 이유 때문에 개별 주제를 다루는 책은 넘쳐나지만 전체적인 맥락을 한 번에 파악할 수 있는 책은 드물다. 이 책은 특정 기술이나 엔진을 초월해 게임 프로그래머가 알아야 할 내용을 전체적으로 다루면서도 실용적인 측면을 함께 소개한다. 저자는 현업에 종사하는 업계 최고 수준의 프로그래머로 자신의 경험과 주변 동료들의 지식을 합쳐 이 책을 썼다. 엔지니어로서 게임 만드는 일을 할 계획이 있거나, 현재 업계에 종사하고 있지만 지엽적인 쳇바퀴에서 벗어나 더 넓은 통찰을 얻고 싶은 사람을 위한 책이다.

◈ 이 책에서 다루는 내용 ◈

이 책에서 주로 다룰 내용은 게임 엔진 기술과 구조(아키텍처)다. 즉, 상용 게임 엔진을 이루는 여러 하부 시스템의 바탕이 되는 이론뿐만 아니라 이를 구현하는 데 필요한 자료 구조, 알고리듬, 소프트웨어 인터페이스를 이야기하면서 이것들이 게임 엔진 안에서 하나로 동작하는지 볼 것이다. 게임 엔진과 게임의 경계는 다소 불분명하다. 이 책에서는 주로 게임 엔진 자체에 집중할 텐데, 여기에는 여러 가지 로우레벨 기반 시스템 및 렌더링 엔진, 충돌 시스템, 물리 시뮬레이션, 캐릭터 애니메이션 등이 포함되며, 개인적으로 게임플레이 기반 계층이라고 부르는 부분에 대한 심층적 논의도 포함된다.


◈ 이 책의 대상 독자 ◈

이 책은 입문서이지만 숙련된 프로그래머라도 많이 다뤄보지 않았을 부분에 대해 유용한 화두를 제시한다. 이전과 마찬가지로 풍부한 참고 문서와 인용문을 제공하기 때문에 특정 게임 개발 과정에 대해 깊게 공부하고 싶은 독자를 위한 단초가 될 수도 있다."
361,엑셀 매크로&VBA 바이블,최준선,한빛미디어,2023-05-31,47000,42300,9.87,23,S000202404483,"엑셀 2010, 2013, 2016, 2019, 2021, Microsoft 365 등 모든 버전에서 엑셀 매크로와 VBA의 기본 기능부터 주요 기능, 실제 업무에 활용할 수 있는 코드까지 체계적으로 학습할 수 있다. 버전별로 차이가 나는 내용은 상세한 사용 팁과 함께 사용 가능한 엑셀 버전을 표시하여 어떤 버전을 사용하든 막힘없이 매크로와 VBA 예제를 실습할 수 있게 구성했다. 매크로 기초 문법과 엑셀의 주요 개체, 자주 사용하는 기능 컨트롤 등 업무에 적용할 수 있는 내용으로 꼼꼼하게 목차를 구성하였으며 실무 기능을 찾기 쉽게 표시했다. 뿐만 아니라 수식 및 함수 도움말 등을 곳곳에 배치해 낯선 기능과 용어도 한번에 이해할 수 있다. 
ChatGPT 등의 AI를 활용한 매크로&VBA 학습법까지 익히고 나면 엑셀 업무 자동화 프로그래밍의 거의 모든 것을 학습할 수 있을 것이다. 학습하다 어려운 부분은 네이버 엑셀 대표 카페 〈엑셀..하루에 하나씩〉과 유튜브 채널 〈엑셀 마스터〉를 방문하여 저자의 도움을 받아 해결할 수 있다."
362,모두의 한국어 텍스트 분석 with 파이썬,박조은 외,길벗,2023-05-29,27000,24300,9.67,17,S000202334592,"먼 미래의 거대 모델도 작은 모델에서 시작! 
지금 당장 내 손으로 직접 작고 간단한 모델을 구현해보자!
정말 쉽게 누구나 따라 해볼 수 있는 실전형 프로젝트 4가지 수록!
 
컴퓨터는 한국어를 어떻게 이해할 수 있을까? 컴퓨터로 한국어 텍스트를 다루는 데는 무엇이 필요할까? 맨땅에서 텍스트 분석을 시작하려 할 때 또는 텍스트 분석과 자연어 처리 분야의 기본기를 탄탄히 다지며 재정비하고 싶을 때 반드시 알아야 하는 내용만 담았다. 
우선 본격적인 프로젝트를 시작하기 전에 텍스트 분석에 필요한 파이썬 기초 개념과 필수 파이썬 라이브러리의 기본 사용법을 살펴보면서, 텍스트 데이터 전처리 기능과 방법을 익힌다. 다음으로 텍스트 분석의 기본 개념이자 텍스트를 수치 형태의 데이터로 변환하는 벡터화 방법인 단어 가방 모형과 TF-IDF를 배운다. 이어서 네 가지 다른 한국어 데이터를 가지고 실제 프로젝트를 진행해본다. 프로젝트는 데이터 다운로드부터 전처리, 시각화까지 전 과정을 다루며, 실습은 지금 당장 어디서라도 쉽게 진행할 수 있게 코랩으로 준비했다."
363,동영상편집 스타되기,교재개발팀,마린북스,2023-05-26,15000,13500,10.0,1,S000202476943,"★ 재생 속도, 자막, 이미지, 영상 전환, 필터, 오버레이 클립, 배경음악, 효과음 등의 필수 기능을 다양한 예제로 익힙니다
★ 콘텐츠를 기획하고 동영상 콘티를 작성한 후에 액괴 만들기, 게임 해설, 먹방ASMR, 택배 언박싱 영상, 광고 영상 등을 직접 만듭니다.
★ 교재 맨 뒤쪽에 유료 프로그램인 곰믹스 프로를 90일 동안 사용할 수 있는 쿠폰이 포함되어 있습니다."
364,혼자 공부하는 C 언어,서현우,한빛미디어,2023-05-18,26000,23400,9.92,41,S000202252289,"『혼자 공부하는 C 언어』가 더욱 흥미 있고 알찬 내용으로 돌아왔습니다. 혼자 공부하더라도 막히는 부분이 없도록 부가 설명용 동영상 ‘QR 코드’를 추가했습니다. 또한 최신 프로그램에서도 무리 없이 실습을 진행할 수 있도록 비주얼 스튜디오 2022 버전을 반영했습니다.

물론, 프로그래밍이 정말 처음인 사람에게 ‘꼭 필요한 내용’과 뭘 모르는지조차 모르는 마음에 십분 공감해 과외 선생님이 알려주듯 핵심 내용만 콕콕 짚어 주는 ‘친절한 설명’, 누구나 쉽게 따라 할 수 있도록 구성된 ‘단계별 학습’ 그리고 입문자에게 맞는 난이도, 분량, 학습 요소 등을 ‘베타리더의 의견’에 따라 적극 반영한 건 여전합니다!

단순한 문법 암기와 코딩 따라하기에 지쳤다면 새롭게 돌아온 친절한 ‘혼공 씨’와 함께 C 언어라는, 프로그래밍 언어의 근본을 경험해 보세요. 책의 첫 페이지를 펼치고 마지막 페이지를 덮을 때까지, 혼자서도 충분히 C 언어를 배울 수 있다는 자신감과 확신이 계속 들 것입니다!"
